time,x,y,vx,vy,v0,angle
0.0,0.0,0.0,17.320508075688775,9.999999999999998,20,30
0.01,0.17320508075688776,0.09901899999999998,17.320508075688775,9.901899999999998,20,30
0.02,0.3464101615137755,0.19705699999999995,17.320508075688775,9.803799999999997,20,30
0.03,0.5196152422706632,0.29411399999999993,17.320508075688775,9.705699999999997,20,30
0.04,0.692820323027551,0.3901899999999999,17.320508075688775,9.607599999999996,20,30
0.05,0.8660254037844388,0.48528499999999986,17.320508075688775,9.509499999999996,20,30
0.060000000000000005,1.0392304845413265,0.5793989999999998,17.320508075688775,9.411399999999995,20,30
0.07,1.2124355652982142,0.6725319999999997,17.320508075688775,9.313299999999995,20,30
0.08,1.3856406460551018,0.7646839999999996,17.320508075688775,9.215199999999994,20,30
0.09,1.5588457268119895,0.8558549999999995,17.320508075688775,9.117099999999994,20,30
0.09999999999999999,1.7320508075688772,0.9460449999999994,17.320508075688775,9.018999999999993,20,30
0.10999999999999999,1.9052558883257649,1.0352539999999992,17.320508075688775,8.920899999999993,20,30
0.11999999999999998,2.0784609690826525,1.1234819999999992,17.320508075688775,8.822799999999992,20,30
0.12999999999999998,2.25166604983954,1.210728999999999,17.320508075688775,8.724699999999991,20,30
0.13999999999999999,2.424871130596428,1.296994999999999,17.320508075688775,8.626599999999991,20,30
0.15,2.5980762113533156,1.3822799999999988,17.320508075688775,8.52849999999999,20,30
0.16,2.7712812921102032,1.4665839999999988,17.320508075688775,8.43039999999999,20,30
0.17,2.944486372867091,1.5499069999999986,17.320508075688775,8.33229999999999,20,30
0.18000000000000002,3.1176914536239786,1.6322489999999985,17.320508075688775,8.234199999999989,20,30
0.19000000000000003,3.2908965343808663,1.7136099999999983,17.320508075688775,8.136099999999988,20,30
0.20000000000000004,3.464101615137754,1.7939899999999982,17.320508075688775,8.037999999999988,20,30
0.21000000000000005,3.6373066958946416,1.8733889999999982,17.320508075688775,7.939899999999988,20,30
0.22000000000000006,3.8105117766515293,1.951806999999998,17.320508075688775,7.841799999999989,20,30
0.23000000000000007,3.983716857408417,2.029243999999998,17.320508075688775,7.743699999999989,20,30
0.24000000000000007,4.156921938165305,2.105699999999998,17.320508075688775,7.645599999999989,20,30
0.25000000000000006,4.330127018922193,2.181174999999998,17.320508075688775,7.54749999999999,20,30
0.26000000000000006,4.50333209967908,2.255668999999998,17.320508075688775,7.44939999999999,20,30
0.2700000000000001,4.676537180435968,2.3291819999999976,17.320508075688775,7.35129999999999,20,30
0.2800000000000001,4.849742261192856,2.4017139999999975,17.320508075688775,7.253199999999991,20,30
0.2900000000000001,5.0229473419497435,2.4732649999999974,17.320508075688775,7.155099999999991,20,30
0.3000000000000001,5.196152422706631,2.5438349999999974,17.320508075688775,7.0569999999999915,20,30
0.3100000000000001,5.369357503463519,2.6134239999999975,17.320508075688775,6.958899999999992,20,30
0.3200000000000001,5.5425625842204065,2.6820319999999973,17.320508075688775,6.860799999999992,20,30
0.3300000000000001,5.715767664977294,2.749658999999997,17.320508075688775,6.762699999999993,20,30
0.34000000000000014,5.888972745734182,2.816304999999997,17.320508075688775,6.664599999999993,20,30
0.35000000000000014,6.0621778264910695,2.8819699999999973,17.320508075688775,6.566499999999993,20,30
0.36000000000000015,6.235382907247957,2.946653999999997,17.320508075688775,6.468399999999994,20,30
0.37000000000000016,6.408587988004845,3.010356999999997,17.320508075688775,6.370299999999994,20,30
0.38000000000000017,6.5817930687617325,3.073078999999997,17.320508075688775,6.2721999999999944,20,30
0.3900000000000002,6.75499814951862,3.134819999999997,17.320508075688775,6.174099999999995,20,30
0.4000000000000002,6.928203230275508,3.195579999999997,17.320508075688775,6.075999999999995,20,30
0.4100000000000002,7.101408311032396,3.255358999999997,17.320508075688775,5.9778999999999956,20,30
0.4200000000000002,7.274613391789283,3.3141569999999967,17.320508075688775,5.879799999999996,20,30
0.4300000000000002,7.447818472546171,3.3719739999999967,17.320508075688775,5.781699999999996,20,30
0.4400000000000002,7.621023553303059,3.428809999999997,17.320508075688775,5.683599999999997,20,30
0.45000000000000023,7.794228634059946,3.4846649999999966,17.320508075688775,5.585499999999997,20,30
0.46000000000000024,7.967433714816834,3.5395389999999964,17.320508075688775,5.487399999999997,20,30
0.47000000000000025,8.140638795573722,3.5934319999999964,17.320508075688775,5.389299999999998,20,30
0.48000000000000026,8.31384387633061,3.6463439999999965,17.320508075688775,5.291199999999998,20,30
0.49000000000000027,8.487048957087499,3.6982749999999966,17.320508075688775,5.1930999999999985,20,30
0.5000000000000002,8.660254037844387,3.7492249999999965,17.320508075688775,5.094999999999999,20,30
0.5100000000000002,8.833459118601276,3.7991939999999964,17.320508075688775,4.996899999999999,20,30
0.5200000000000002,9.006664199358164,3.8481819999999964,17.320508075688775,4.8988,20,30
0.5300000000000002,9.179869280115053,3.8961889999999966,17.320508075688775,4.8007,20,30
0.5400000000000003,9.353074360871942,3.9432149999999964,17.320508075688775,4.7026,20,30
0.5500000000000003,9.52627944162883,3.9892599999999963,17.320508075688775,4.604500000000001,20,30
0.5600000000000003,9.699484522385719,4.034323999999996,17.320508075688775,4.506400000000001,20,30
0.5700000000000003,9.872689603142607,4.078406999999996,17.320508075688775,4.408300000000001,20,30
0.5800000000000003,10.045894683899496,4.121508999999996,17.320508075688775,4.310200000000002,20,30
0.5900000000000003,10.219099764656384,4.163629999999996,17.320508075688775,4.212100000000002,20,30
0.6000000000000003,10.392304845413273,4.204769999999996,17.320508075688775,4.1140000000000025,20,30
0.6100000000000003,10.565509926170161,4.244928999999996,17.320508075688775,4.015900000000003,20,30
